Cog,CommunicationState,Latitude,Longitude,MessageID,NavigationalStatus,PositionAccuracy,Raim,RateOfTurn,RepeatIndicator,Sog,Spare,SpecialManoeuvreIndicator,Timestamp,TrueHeading,UserID,Valid,geometry,AisVersion,CallSign,Destination,Dimension,Dte,Eta,FixType,ImoNumber,MaximumStaticDraught,Name,Type
91.8,87690.0,54.69569833333333,18.676283333333334,3,5.0,True,False,0.0,0,0.0,0,0.0,39.0,314.0,261000151,True,POINT (18.676283333333334 54.69569833333333),,,,,,,,,,,
,,,,5,,,,,0,,False,,,,261036820,True,,1.0,SPG4615,GDANSK              ,"{'A': 15, 'B': 25, 'C': 10, 'D': 10}",False,"{'Day': 5, 'Hour': 14, 'Minute': 30, 'Month': 8}",3.0,7048207.0,2.2,CONRAD CONSUL       ,99.0
243.5,114848.0,54.37896,18.657428333333332,1,15.0,False,False,0.0,0,0.0,0,0.0,41.0,166.0,538009779,True,POINT (18.657428333333332 54.37896),,,,,,,,,,,
208.4,4563.0,54.52529166666667,19.004725,5,0.0,False,False,0.0,0,8.0,False,0.0,50.0,205.0,636022721,True,POINT (19.004725 54.52529166666667),2.0,5LKD5  ,PLGDN               ,"{'A': 113, 'B': 253, 'C': 16, 'D': 35}",False,"{'Day': 14, 'Hour': 14, 'Minute': 0, 'Month': 4}",1.0,9954747.0,14.3,MSC ELISABETTA      ,71.0
198.2,85818.0,54.374518333333334,18.663543333333333,3,5.0,True,False,0.0,0,0.0,0,0.0,58.0,164.0,212797000,True,POINT (18.663543333333333 54.374518333333334),1.0,5BTJ6  ,PLGDN               ,"{'A': 85, 'B': 15, 'C': 7, 'D': 6}",False,"{'Day': 11, 'Hour': 2, 'Minute': 0, 'Month': 4}",1.0,9156113.0,3.6,RIX TANGO           ,70.0
360.0,67107.0,54.35765,18.70412333333333,1,0.0,True,True,0.0,0,0.0,0,0.0,41.0,242.0,261001250,True,POINT (18.70412333333333 54.35765),,,,,,,,,,,
360.0,34387.0,54.69424,18.673971666666667,1,7.0,True,True,-128.0,0,0.0,0,0.0,43.0,511.0,261001230,True,POINT (18.673971666666667 54.69424),,,,,,,,,,,
214.2,133316.0,54.512123333333335,18.883685,1,0.0,False,False,0.0,0,0.5,0,0.0,46.0,317.0,219032380,True,POINT (18.883685 54.512123333333335),,,,,,,,,,,
118.3,85194.0,54.388670000000005,18.668799999999997,3,5.0,False,False,0.0,0,0.0,0,0.0,46.0,36.0,241806000,True,POINT (18.668799999999997 54.388670000000005),,,,,,,,,,,
147.2,85354.0,54.35701166666667,18.672981666666665,3,5.0,True,False,0.0,0,0.0,0,0.0,48.0,312.0,212577000,True,POINT (18.672981666666665 54.35701166666667),,,,,,,,,,,
